pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
CHXR 73,b,CHXR 73 b,Imaging,210,0,0,0,,,,,0.35,0,0,12.569,8.379,-5.237,0,3994.486,2662.991,-1664.369
OGLE-2013-BLG-0102L,b,OGLE-2013-BLG-0102L b,Microlensing,0.8,0.08,-0.08,0,,,,,0.1,0.01,-0.01,12.569,2.095,-2.095,0,3994.486,665.748,-665.748
HATS-70,b,HATS-70 b,Transit,0.03632,0.00074,-0.00087,0,0.18,,,1,1.78,0.12,-0.12,12.9,1.8,-1.6,0,4100.007,572.094,-508.528
EPIC 248847494,b,EPIC 248847494 b,Transit,4.5,1,-1,0,0,,,0,0.9,0.09,-0.09,13,0,0,1,4131.79,0,0
OGLE-2016-BLG-1190L,b,OGLE-2016-BLG-1190L b,Microlensing,2.17,1.87,-0.38,0,,,,0,0.88,0.06,-0.05,13.38,0.88,-0.82,0,4252.5654,279.6904,-260.6206
kap And,b,kap And b,Imaging,55,2,-2,0,,,,,2.6,0.2,-0.2,13.616,23.042,-1.047,0,4327.36,7323.224,-332.874
Kepler-27,c,Kepler-27 c,Transit,0.191,0,0,0,,,,,0.65,0.16,-0.16,13.8,0,0,1,4385.87,0,0
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,156,10,-10,0,,,,,0.11,0.01,-0.01,13.9,1.1,-1.1,0,4417.837,349.613,-349.613
Oph 11,b,Oph 11 b,Imaging,243,55,-55,0,,,,,0.02,0,-0.01,14,6,-5,0,4449.62,1906.98,-1589.15
USco CTIO 108,b,USco CTIO 108 b,Imaging,670,0,0,0,,,,,0.06,0.02,-0.02,14,2,-8,0,4449.62,635.66,-2542.64
KMT-2016-BLG-2142L,b,KMT-2016-BLG-2142L b,Microlensing,0.83,0.15,-0.2,0,,,,0,0.07,0.12,-0.04,15.49,24.99,-8.58,0,4923.1867,7942.5717,-2726.9814
GSC 06214-00210,b,GSC 06214-00210 b,Imaging,320,30,-30,0,,,,,0.9,0.1,-0.1,16,1,-1,0,5000,300,-300
ROXs 12,b,ROXs 12 b,Imaging,210,20,-20,0,,,,,0.87,0.08,-0.08,16,4,-4,0,5085,1271,-1271
FU Tau,b,FU Tau b,Imaging,800,0,0,0,,,,,0.05,0,0,16,0,0,0,5085.28,0,0
HD 202206,c,HD 202206 c,Radial Velocity,2.41,0,0,0,0.22,0.03,-0.03,0,1.27,0.12,-0.12,17.9,2.9,-1.8,0,5689.157,921.707,-572.094
KMT-2016-BLG-0212L,b,KMT-2016-BLG-0212L b,Microlensing,2.2,0.7,-0.7,0,,,,0,0.48,0.38,-0.26,18,20,-11,0,5720.94,6356.6,-3496.13
GQ Lup,b,GQ Lup b,Imaging,100,0,0,0,,,,,0.7,0,0,20,0,0,0,6356,0,0
Kepler-39,b,Kepler-39 b,Transit,0.164,0.003,-0.003,0,0.112,0.057,-0.057,0,1.29,0.06,-0.07,20.1,1.3,-1.3,0,6388.1,413.2,-381.4
HIP 79098 AB,b,HIP 79098 AB b,Imaging,345,6,-6,0,,,,0,3.75,1.25,-1.25,20.5,4.5,-4.5,0,6515.515,1430.235,-1430.235
HN Peg,b,HN Peg b,Imaging,773,13,-13,0,,,,,1.1,0,0,21.9987,9.42803,-9.42803,0,6991.57,2996.39,-2996.39
WISEP J121756.91+162640.2 A,b,WISEP J121756.91+162640.2 A b,Imaging,8,1.3,-1.3,0,,,,,0.03,0.01,-0.01,22,2,-2,0,6992,636,-636
KOI-12,c,Kepler-448 c,Transit Timing Variations,4.2,2.4,-0.9,0,0.65,0.13,-0.09,0,1.5,0.1,-0.1,22,7,-5,0,6992.26,2224.81,-1589.15
nu Oph,b,nu Oph b,Radial Velocity,1.79,0,0,0,0.124,0.003,-0.003,0,2.7,0.2,-0.2,22.206,0,0,0,7057.73298,0,0
HIP 78530,b,HIP 78530 b,Imaging,740,60,-60,0,,,,,2.5,0,0,23,1,-1,0,7300,300,-300
MXB 1658-298,b,MXB 1658-298 b,Eclipse Timing Variations,1.613,0.11,-0.11,0,,,,0,1.98,0,0,23.7,3.2,-3.2,0,7532.571,1017.056,-1017.056
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,52,6,-6,0,,,,,0.4,0.05,-0.05,24.5,2.5,-2.5,0,7786.5,794.5,-794.5
nu Oph,c,nu Oph c,Radial Velocity,5.931,0,0,0,0.18,0.006,-0.006,0,2.7,0.2,-0.2,24.662,0,0,0,7838.32346,0,0
KELT-1,b,KELT-1 b,Transit,0.02466,0.00016,-0.00016,0,0.0099,0.01,-0.0069,0,1.32,0.03,0,27.23,0.5,-0.48,0,8654.15,158.908,-152.552
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,0.36,0.01,-0.01,0,0.345,0.068,-0.064,0,0.07,0.01,-0.01,28.5,1.9,-1.9,0,9057.77,603.85,-603.85
HR 2562,b,HR 2562 b,Imaging,20.3,0.3,-0.3,0,,,,,1.3,0,0,30,15,-15,0,9534.9,4767.45,-4767.45
